ts,step,epsilon,loss,mean_q
08:06:57,128,0.7854,0.6011,0.1650
08:06:58,129,0.7840,0.5538,0.2177
08:06:59,130,0.7825,0.4917,0.2859
08:07:00,131,0.7810,0.4290,0.3605
08:07:01,132,0.7796,0.3388,0.4235
08:07:02,133,0.7781,0.2714,0.5161
08:07:03,134,0.7767,0.2913,0.4956
08:07:04,135,0.7752,0.1635,0.6801
08:07:05,136,0.7738,0.1624,0.7029
08:07:06,137,0.7723,0.1410,0.7452
08:07:07,138,0.7709,0.1215,0.8095
08:07:08,139,0.7694,0.1038,0.8457
08:07:09,140,0.7680,0.0725,0.9510
08:07:10,141,0.7666,0.0660,0.9743
08:07:12,142,0.7651,0.0359,1.0788
08:07:13,143,0.7637,0.0444,1.0710
08:07:14,144,0.7623,0.0271,1.1463
08:07:15,145,0.7609,0.0279,1.1674
08:07:16,146,0.7594,0.0250,1.1978
08:07:17,147,0.7580,0.0188,1.2276
08:07:18,148,0.7566,0.0171,1.2402
08:07:19,149,0.7552,0.0258,1.2323
08:07:20,150,0.7538,0.0280,1.2870
08:07:21,151,0.7524,0.5060,1.2850
08:07:22,152,0.7510,0.4917,1.2988
08:07:23,153,0.7496,0.4647,1.3276
08:07:24,154,0.7482,0.4272,1.3644
08:07:25,155,0.7468,0.3953,1.4062
08:07:26,156,0.7454,0.3435,1.4656
08:07:27,157,0.7440,0.3014,1.5205
08:07:28,158,0.7426,0.2560,1.5795
08:07:29,159,0.7412,0.2101,1.6438
08:07:30,160,0.7398,0.1685,1.7133
08:07:31,161,0.7385,0.1220,1.7986
08:07:32,162,0.7371,0.0885,1.8774
08:07:33,163,0.7357,0.0654,1.9400
08:07:34,164,0.7343,0.0367,2.0345
08:07:35,165,0.7330,0.0201,2.1158
08:07:36,166,0.7316,0.0116,2.1880
08:07:37,167,0.7303,0.0080,2.2529
08:07:38,168,0.7289,0.0083,2.3512
08:07:39,169,0.7275,0.0134,2.4122
08:07:40,170,0.7262,0.0686,2.4355
08:07:41,171,0.7248,0.0762,2.4627
08:07:42,172,0.7235,0.0878,2.4983
08:07:43,173,0.7221,0.0799,2.4758
08:07:44,174,0.7208,0.0776,2.4728
08:07:45,175,0.7195,0.0729,2.4612
08:07:46,176,0.7181,0.0640,2.4371
08:07:48,177,0.7168,0.0203,2.3984
08:07:49,178,0.7154,0.0147,2.3662
08:07:50,179,0.7141,0.0101,2.3223
08:07:51,180,0.7128,0.0074,2.2931
08:07:52,181,0.7115,0.0059,2.2477
08:07:53,182,0.7101,0.0354,2.2295
08:07:54,183,0.7088,0.0407,2.2072
08:07:55,184,0.7075,0.0261,2.1449
08:07:56,185,0.7062,0.0243,2.1375
08:07:57,186,0.7049,0.0149,2.0905
08:07:58,187,0.7036,0.0099,2.0457
08:07:59,188,0.7023,0.0065,2.0115
08:08:00,189,0.7010,0.0039,1.9725
08:08:01,190,0.6997,0.0039,1.9521
08:08:02,191,0.6984,0.0040,1.9199
08:08:03,192,0.6971,0.0036,1.8804
08:08:04,193,0.6958,0.0044,1.8755
08:08:05,194,0.6945,0.0057,1.8467
08:08:06,195,0.6932,0.0067,1.8346
08:08:07,196,0.6919,0.0075,1.8269
08:08:08,197,0.6906,0.0075,1.8289
08:08:09,198,0.6894,0.0148,1.8212
08:08:10,199,0.6881,0.1054,1.8270
08:08:11,200,0.6868,0.0999,1.8413
08:08:12,201,0.6855,0.4438,1.8638
08:08:13,202,0.6843,0.4148,1.8935
08:08:14,203,0.6830,0.3868,1.9280
08:08:15,204,0.6817,0.3535,1.9689
08:08:16,205,0.6805,0.3036,2.0275
08:08:17,206,0.6792,0.2819,2.0604
