timestamp,rnti,e2_node,f1ap,slice_sd,slice_name,cqi,ri,dl_mcs,ul_mcs,pusch_snr_db,pusch_rsrp_db,phr,dl_brate_bps,ul_brate_bps,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,alloc_req_bps,sla_dl_target_bps
1781623937.167,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,15,1,0,2,1.6,-0.2,0,0.0,601488.0,0,0,0,0,,,,300000
1781623937.167,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,15,1,27,3,2.0,-0.1,0,35608.0,658896.0,27,0,0,0,,,,300000
1781623937.167,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,1,1.4,-0.0,0,61552.0,854944.0,46,0,0,0,,,,20000000
1781623937.167,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,,,,300000
1781623937.167,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,,,,300000
1781623937.167,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,,,,20000000
1781623938.167,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,15,1,0,1,1.9,-0.1,0,0.0,588152.0,0,0,0,0,,,,300000
1781623938.167,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,13,1,28,2,2.4,-0.0,0,33672.0,632536.0,25,0,0,0,,,,300000
1781623938.167,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,0,1.0,0,0,57240.0,816120.0,43,0,0,0,,,,20000000
1781623938.167,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,,,,300000
1781623938.167,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,,,,300000
1781623938.167,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,,,,20000000
1781623939.166,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,13,1,0,3,1.3,-0.2,0,0.0,563088.0,0,0,0,0,,,,300000
1781623939.166,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,15,1,28,5,2.1,-0.1,0,37472.0,658336.0,28,0,0,0,,,,300000
1781623939.166,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,1,1.7,-0.0,0,61680.0,790080.0,46,0,0,0,,,,20000000
1781623939.166,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,,,,300000
1781623939.166,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,,,,300000
1781623939.166,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,,,,20000000
1781623940.167,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,15,1,0,2,1.9,-0.1,0,0.0,552128.0,0,0,0,0,,,,300000
1781623940.167,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,15,1,28,2,1.9,-0.0,0,34640.0,581840.0,26,0,0,0,,,,300000
1781623940.167,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,0,1.2,-0.0,0,57112.0,835696.0,43,0,0,0,,,,20000000
1781623940.167,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,,,,300000
