timestamp,rnti,e2_node,f1ap,slice_sd,slice_name,cqi,ri,dl_mcs,ul_mcs,pusch_snr_db,pusch_rsrp_db,phr,dl_brate_bps,ul_brate_bps,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,alloc_req_bps,sla_dl_target_bps,bler_dl,sla_dl_sat
1782644880.659,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.8,-1.6,0,9955696.0,110272.0,366,0,0,0,25,100,8000000,311000,0.0,32.0119
1782644880.659,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.8,-1.6,0,9955696.0,110272.0,366,0,0,0,,,,311000,0.0,32.0119
1782644880.659,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,4.2,-1.1,0,10009976.0,327088.0,367,0,0,0,60,100,9000000,356000,0.0,28.1179
1782644880.659,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,4.2,-1.1,0,10009976.0,327088.0,367,0,0,0,,,,356000,0.0,28.1179
1782644880.659,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,6,5.2,-0.9,0,9986936.0,131039.99999999999,367,0,0,0,15,100,25000000,20000000,0.0,0.4993
1782644880.659,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,6,5.2,-0.9,0,9986936.0,131039.99999999999,367,0,0,0,,,,20000000,0.0,0.4993
1782644881.657,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.8,-1.6,0,9955696.0,110272.0,366,0,0,0,,,,311000,0.0,32.0119
1782644881.657,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,4.2,-1.1,0,10009976.0,327088.0,367,0,0,0,,,,356000,0.0,28.1179
1782644881.657,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,6,5.2,-0.9,0,9986936.0,131039.99999999999,367,0,0,0,,,,20000000,0.0,0.4993
1782644881.659,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.8,-1.6,0,9955696.0,110272.0,366,0,0,0,25,100,8000000,311000,0.0,32.0119
1782644881.659,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,4.2,-1.1,0,10009976.0,327088.0,367,0,0,0,60,100,9000000,356000,0.0,28.1179
1782644881.659,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,6,5.2,-0.9,0,9986936.0,131039.99999999999,367,0,0,0,15,100,25000000,20000000,0.0,0.4993
1782644882.658,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.8,-1.6,0,9986936.0,95328.0,367,0,0,0,,,,311000,0.0,32.1123
1782644882.658,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.8,-1.6,0,9986936.0,95328.0,367,0,0,0,25,100,8000000,311000,0.0,32.1123
1782644882.658,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,4.4,-1.1,0,9955696.0,314992.0,366,0,0,0,,,,356000,0.0,27.9654
1782644882.658,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,4.4,-1.1,0,9955696.0,314992.0,366,0,0,0,60,100,9000000,356000,0.0,27.9654
1782644882.658,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,6,5.2,-0.9,0,10004344.0,128687.99999999999,367,0,0,0,,,,20000000,0.0,0.5002
1782644882.658,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,6,5.2,-0.9,0,10004344.0,128687.99999999999,367,0,0,0,15,100,25000000,20000000,0.0,0.5002
1782644883.66,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.7,-1.7,0,10009976.0,108688.0,367,0,0,0,25,100,8000000,311000,0.0,32.1864
1782644883.66,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,4.3,-1.0,0,9986936.0,319320.0,367,0,0,0,60,100,9000000,356000,0.0,28.0532
1782644883.66,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,9,1,28,6,5.0,-1.0,0,9955696.0,124592.0,366,0,0,0,15,100,25000000,20000000,0.0,0.4978
1782644883.661,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.7,-1.7,0,10009976.0,108688.0,367,0,0,0,,,,311000,0.0,32.1864
1782644883.661,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,4.3,-1.0,0,9986936.0,319320.0,367,0,0,0,,,,356000,0.0,28.0532
1782644883.661,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,9,1,28,6,5.0,-1.0,0,9955696.0,124592.0,366,0,0,0,,,,20000000,0.0,0.4978
1782644884.663,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.7,-1.7,0,10009976.0,108688.0,367,0,0,0,25,100,8000000,311000,0.0,32.1864
1782644884.663,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.7,-1.7,0,10009976.0,108688.0,367,0,0,0,,,,311000,0.0,32.1864
1782644884.663,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,4.3,-1.0,0,9986936.0,319320.0,367,0,0,0,60,100,9000000,356000,0.0,28.0532
1782644884.663,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,4.3,-1.0,0,9986936.0,319320.0,367,0,0,0,,,,356000,0.0,28.0532
1782644884.663,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,9,1,28,6,5.0,-1.0,0,9955696.0,124592.0,366,0,0,0,15,100,25000000,20000000,0.0,0.4978
1782644884.663,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,9,1,28,6,5.0,-1.0,0,9955696.0,124592.0,366,0,0,0,,,,20000000,0.0,0.4978
1782644885.663,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,4.0,-1.6,0,9955696.0,106504.0,366,0,0,0,,,,311000,0.0,32.0119
1782644885.663,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,9,1,28,8,4.1,-1.1,0,10009976.0,314576.0,367,0,0,0,,,,356000,0.0,28.1179
1782644885.663,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,14,1,28,6,5.0,-0.9,0,9986936.0,124320.0,367,0,0,0,,,,20000000,0.0,0.4993
1782644886.663,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.6,-1.7,0,9986936.0,100376.0,367,0,0,0,,,,311000,0.0,32.1123
1782644886.663,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,4.3,-1.1,0,9955696.0,297616.0,366,0,0,0,,,,356000,0.0,27.9654
1782644886.663,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,6,5.2,-0.8,0,10009976.0,129576.0,367,0,0,0,,,,20000000,0.0,0.5005
1782644886.664,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.6,-1.7,0,9986936.0,100376.0,367,0,0,0,25,100,8000000,311000,0.0,32.1123
1782644886.664,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,4.3,-1.1,0,9955696.0,297616.0,366,0,0,0,60,100,9000000,356000,0.0,27.9654
1782644886.664,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,6,5.2,-0.8,0,10009976.0,129576.0,367,0,0,0,15,100,25000000,20000000,0.0,0.5005
1782644887.665,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.6,-1.7,0,9986936.0,100376.0,367,0,0,0,,,,311000,0.0,32.1123
1782644887.665,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,4.3,-1.1,0,9955696.0,297616.0,366,0,0,0,,,,356000,0.0,27.9654
1782644887.665,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,6,5.2,-0.8,0,10009976.0,129576.0,367,0,0,0,,,,20000000,0.0,0.5005
1782644888.664,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.7,-1.7,0,10004344.0,103640.0,367,0,0,0,,,,311000,0.0,32.1683
1782644888.664,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,14,1,28,8,4.7,-1.2,0,9986936.0,311952.0,367,0,0,0,,,,356000,0.0,28.0532
1782644888.664,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,13,1,28,6,5.4,-0.8,0,9955696.0,137040.0,366,0,0,0,,,,20000000,0.0,0.4978
1782644889.665,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.7,-1.7,0,10004344.0,103640.0,367,0,0,0,,,,311000,0.0,32.1683
1782644889.665,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,14,1,28,8,4.7,-1.2,0,9986936.0,311952.0,367,0,0,0,,,,356000,0.0,28.0532
