ts,step,epsilon,loss,mean_q
11:10:50,128,0.7854,0.3496,0.0299
11:10:51,129,0.7840,0.2642,0.1111
11:10:52,130,0.7825,0.2387,0.1581
11:10:53,131,0.7810,0.2043,0.2394
11:10:54,132,0.7796,0.1715,0.3101
11:10:55,133,0.7781,0.1406,0.3494
11:10:56,134,0.7767,0.1266,0.4040
11:10:57,135,0.7752,0.1018,0.4708
11:10:58,136,0.7738,0.0993,0.5301
11:10:59,137,0.7723,0.0444,0.6353
11:11:00,138,0.7709,0.0567,0.6609
11:11:01,139,0.7694,0.0465,0.7195
11:11:02,140,0.7680,0.0446,0.7492
11:11:03,141,0.7666,0.0425,0.7811
11:11:04,142,0.7651,0.0872,0.8460
11:11:05,143,0.7637,0.0862,0.8384
11:11:06,144,0.7623,0.0883,0.8141
11:11:07,145,0.7609,0.0646,0.8308
11:11:08,146,0.7594,0.0399,0.8190
11:11:09,147,0.7580,0.0349,0.7903
11:11:10,148,0.7566,0.0336,0.7943
11:11:11,149,0.7552,0.0315,0.7336
11:11:12,150,0.7538,0.0330,0.7193
11:11:13,151,0.7524,0.3129,0.7221
11:11:14,152,0.7510,0.2984,0.6915
11:11:15,153,0.7496,0.2682,0.7287
11:11:16,154,0.7482,0.2585,0.7420
11:11:17,155,0.7468,0.2227,0.7889
11:11:18,156,0.7454,0.2234,0.8093
11:11:19,157,0.7440,0.2019,0.8336
11:11:20,158,0.7426,0.1824,0.8762
11:11:21,159,0.7412,0.1628,0.9274
11:11:22,160,0.7398,0.1011,1.0070
11:11:23,161,0.7385,0.0882,1.0663
11:11:24,162,0.7371,0.0195,1.1248
11:11:25,163,0.7357,0.0208,1.1602
11:11:26,164,0.7343,0.0263,1.2115
11:11:27,165,0.7330,0.0313,1.2710
11:11:29,166,0.7316,0.0339,1.2783
11:11:30,167,0.7303,0.0401,1.3316
11:11:31,168,0.7289,0.0448,1.3449
11:11:32,169,0.7275,0.0453,1.3581
11:11:33,170,0.7262,0.0469,1.3637
11:11:34,171,0.7248,0.0446,1.3625
11:11:35,172,0.7235,0.0374,1.3603
11:11:36,173,0.7221,0.0462,1.3532
11:11:37,174,0.7208,0.0254,1.3424
11:11:38,175,0.7195,0.0191,1.3264
11:11:39,176,0.7181,0.0267,1.3124
11:11:40,177,0.7168,0.0243,1.3145
11:11:41,178,0.7154,0.0165,1.3157
11:11:42,179,0.7141,0.0179,1.3213
11:11:43,180,0.7128,0.0222,1.3283
11:11:44,181,0.7115,0.0110,1.3447
11:11:45,182,0.7101,0.0137,1.3479
11:11:46,183,0.7088,0.0158,1.3816
11:11:47,184,0.7075,0.0124,1.3928
11:11:48,185,0.7062,0.0145,1.3999
11:11:49,186,0.7049,0.0137,1.4348
11:11:50,187,0.7036,0.0274,1.4302
11:11:51,188,0.7023,0.0432,1.4387
11:11:52,189,0.7010,0.0603,1.4382
11:11:53,190,0.6997,0.0675,1.4305
11:11:54,191,0.6984,0.0673,1.4121
11:11:55,192,0.6971,0.0439,1.3760
11:11:56,193,0.6958,0.0363,1.3390
11:11:57,194,0.6945,0.0327,1.3166
11:11:58,195,0.6932,0.0262,1.2863
11:11:59,196,0.6919,0.0279,1.2537
11:12:00,197,0.6906,0.0201,1.2071
11:12:01,198,0.6894,0.0210,1.1898
11:12:02,199,0.6881,0.0139,1.1436
11:12:03,200,0.6868,0.0210,1.1240
11:12:04,201,0.6855,0.2869,1.1012
11:12:05,202,0.6843,0.3381,1.0868
11:12:06,203,0.6830,0.2745,1.0973
11:12:07,204,0.6817,0.2791,1.1079
11:12:08,205,0.6805,0.2689,1.1535
11:12:09,206,0.6792,0.2411,1.1794
11:12:10,207,0.6780,0.1810,1.2325
11:12:11,208,0.6767,0.1697,1.2730
11:12:12,209,0.6754,0.1514,1.3219
11:12:13,210,0.6742,0.1200,1.3653
11:12:14,211,0.6729,0.0944,1.4418
11:12:15,212,0.6717,0.0527,1.5156
11:12:16,213,0.6705,0.0334,1.5605
11:12:17,214,0.6692,0.0173,1.6361
11:12:18,215,0.6680,0.0121,1.7090
11:12:19,216,0.6667,0.0149,1.7746
11:12:20,217,0.6655,0.0269,1.8292
11:12:21,218,0.6643,0.0491,1.8715
11:12:23,219,0.6631,0.0669,1.8972
11:12:24,220,0.6618,0.0636,1.9055
11:12:25,221,0.6606,0.0652,1.9070
11:12:26,222,0.6594,0.0510,1.8844
11:12:27,223,0.6582,0.0521,1.8703
11:12:28,224,0.6570,0.0503,1.8646
11:12:29,225,0.6557,0.0273,1.8150
11:12:30,226,0.6545,0.0147,1.7885
11:12:31,227,0.6533,0.0132,1.7472
11:12:32,228,0.6521,0.0191,1.7250
11:12:33,229,0.6509,0.0210,1.7174
11:12:34,230,0.6497,0.0138,1.7197
11:12:35,231,0.6485,0.0166,1.7089
11:12:36,232,0.6473,0.0290,1.6953
11:12:37,233,0.6461,0.0218,1.6853
11:12:38,234,0.6449,0.0177,1.7041
11:12:39,235,0.6438,0.0137,1.7099
11:12:40,236,0.6426,0.0148,1.7181
11:12:41,237,0.6414,0.0235,1.7244
11:12:42,238,0.6402,0.0182,1.7524
11:12:43,239,0.6390,0.0181,1.7465
11:12:44,240,0.6378,0.0173,1.7795
11:12:45,241,0.6367,0.0142,1.7889
11:12:46,242,0.6355,0.0202,1.8124
11:12:47,243,0.6343,0.0164,1.8195
11:12:48,244,0.6332,0.0103,1.8351
11:12:49,245,0.6320,0.0135,1.8446
11:12:50,246,0.6308,0.0137,1.8583
11:12:51,247,0.6297,0.0179,1.8668
11:12:52,248,0.6285,0.0163,1.8723
11:12:53,249,0.6274,0.0180,1.8880
11:12:54,250,0.6262,0.0162,1.8840
11:12:55,251,0.6251,0.2627,1.8797
11:12:56,252,0.6239,0.2531,1.9033
11:12:57,253,0.6228,0.2229,1.9071
11:12:58,254,0.6216,0.2081,1.9463
11:12:59,255,0.6205,0.1848,1.9814
11:13:00,256,0.6193,0.1667,2.0279
11:13:01,257,0.6182,0.1185,2.0852
11:13:02,258,0.6171,0.1096,2.1567
11:13:03,259,0.6159,0.0789,2.2269
11:13:04,260,0.6148,0.0674,2.3088
11:13:05,261,0.6137,0.0320,2.3851
11:13:06,262,0.6125,0.0292,2.4539
11:13:07,263,0.6114,0.0194,2.5348
11:13:08,264,0.6103,0.0218,2.6048
11:13:09,265,0.6092,0.0228,2.6518
11:13:10,266,0.6081,0.0319,2.6982
11:13:11,267,0.6069,0.0385,2.7606
11:13:12,268,0.6058,0.0430,2.7697
11:13:13,269,0.6047,0.0593,2.7875
11:13:14,270,0.6036,0.0607,2.7892
11:13:15,271,0.6025,0.0664,2.7918
11:13:16,272,0.6014,0.0558,2.7788
11:13:17,273,0.6003,0.0468,2.7452
11:13:19,274,0.5992,0.0347,2.7096
11:13:20,275,0.5981,0.0336,2.6707
11:13:21,276,0.5970,0.0204,2.6374
11:13:22,277,0.5959,0.0210,2.5870
11:13:23,278,0.5948,0.0152,2.5389
11:13:24,279,0.5937,0.0151,2.4902
11:13:25,280,0.5926,0.0095,2.4539
11:13:26,281,0.5916,0.0126,2.4113
11:13:27,282,0.5905,0.0257,2.4122
11:13:28,283,0.5894,0.0222,2.3814
11:13:29,284,0.5883,0.0171,2.3723
11:13:30,285,0.5872,0.0275,2.3684
11:13:31,286,0.5862,0.0236,2.3525
11:13:32,287,0.5851,0.0208,2.3527
11:13:33,288,0.5840,0.0248,2.3830
11:13:34,289,0.5830,0.0180,2.3607
11:13:35,290,0.5819,0.0292,2.3828
11:13:36,291,0.5808,0.0170,2.3960
11:13:37,292,0.5798,0.0217,2.4241
11:13:38,293,0.5787,0.0135,2.4323
11:13:39,294,0.5777,0.0151,2.4373
11:13:40,295,0.5766,0.0252,2.4502
11:13:41,296,0.5756,0.0121,2.4756
11:13:42,297,0.5745,0.0221,2.4865
11:13:43,298,0.5735,0.0248,2.4922
11:13:44,299,0.5724,0.0237,2.5185
11:13:45,300,0.5714,0.0154,2.5273
11:13:46,301,0.5703,0.2360,2.5478
11:13:47,302,0.5693,0.2224,2.5840
11:13:48,303,0.5683,0.2048,2.6157
11:13:49,304,0.5672,0.1868,2.6609
11:13:50,305,0.5662,0.1450,2.7074
11:13:51,306,0.5652,0.1006,2.7764
11:13:52,307,0.5641,0.1059,2.8470
11:13:53,308,0.5631,0.0526,2.9187
11:13:54,309,0.5621,0.0556,2.9994
11:13:55,310,0.5610,0.0317,3.0805
11:13:56,311,0.5600,0.0222,3.1445
11:13:57,312,0.5590,0.0294,3.2165
11:13:58,313,0.5580,0.0258,3.2797
11:13:59,314,0.5570,0.0442,3.3409
11:14:00,315,0.5560,0.0471,3.3669
11:14:01,316,0.5550,0.0557,3.3936
11:14:02,317,0.5539,0.0508,3.3930
11:14:03,318,0.5529,0.0480,3.3927
11:14:04,319,0.5519,0.0372,3.3740
11:14:05,320,0.5509,0.0324,3.3543
11:14:06,321,0.5499,0.0274,3.3270
11:14:07,322,0.5489,0.0238,3.2962
11:14:09,323,0.5479,0.0216,3.2653
11:14:10,324,0.5469,0.0213,3.2194
11:14:11,325,0.5459,0.0155,3.1774
11:14:12,326,0.5450,0.0168,3.1340
11:14:13,327,0.5440,0.0115,3.1122
11:14:14,328,0.5430,0.0136,3.1073
11:14:15,329,0.5420,0.0200,3.0727
