timestamp,rnti,e2_node,f1ap,slice_sd,slice_name,cqi,ri,dl_mcs,ul_mcs,pusch_snr_db,pusch_rsrp_db,phr,dl_brate_bps,ul_brate_bps,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,alloc_req_bps,sla_dl_target_bps,bler_dl,sla_dl_sat
1782461092.473,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,9,1,28,6,6.6,-0.1,0,343560.0,161360.0,24,0,0,0,,,,20000000,0.0,0.0172
1782461092.473,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,7.5,-0.2,0,1118288.0,2861000.0,128,0,0,0,,,,356000,0.0,3.1413
1782461092.473,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,9,1,28,8,7.9,-0.2,0,958424.0,2974632.0,97,0,0,0,,,,311000,0.0,3.0817
1782461093.474,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,9,1,28,5,5.9,-0.2,0,443744.0,179152.0,24,0,0,0,,,,20000000,0.0,0.0222
1782461093.474,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,8,7.2,-0.3,0,719104.0,2630296.0,124,0,0,0,,,,356000,0.0,2.02
1782461093.474,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,12,1,28,8,8.1,-0.2,0,861888.0,3144744.0,100,0,0,0,,,,311000,0.0,2.7713
1782461094.475,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,28,6,6.0,-0.4,0,304936.0,137536.0,24,0,0,0,,,,20000000,0.0,0.0152
1782461094.475,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,11,1,28,7,7.5,-0.3,0,904888.0,2929184.0,125,0,0,0,,,,356000,0.0,2.5418
1782461094.475,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,15,1,28,8,7.9,-0.2,0,1318456.0,2960464.0,95,0,0,0,,,,311000,0.0,4.2394
1782461095.475,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,28,8,8.8,0,0,166272.0,114384.0,23,0,0,0,,,,20000000,0.0,0.0083
1782461095.475,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,7.3,-0.3,0,1869240.0,2771632.0,127,0,0,0,,,,356000,0.0,5.2507
1782461095.475,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,15,1,28,8,8.0,-0.2,0,1300504.0,3123776.0,100,0,0,0,,,,311000,0.0,4.1817
1782461096.475,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,28,8,8.7,-0.0,0,173056.0,114128.0,24,0,0,0,,,,20000000,0.0,0.0087
1782461096.475,17923,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,7.3,-0.3,0,2422656.0,2834280.0,126,0,0,0,,,,356000,0.0,6.8052
1782461096.475,17924,gnbd_001_001_00000213_1,2,2,PERFORMANCE,15,1,28,7,7.8,-0.2,0,817552.0,2860200.0,95,0,0,0,,,,311000,0.0,2.6288
1782461097.475,17922,gnbd_001_001_00000213_1,0,3,BUSINESS,15,1,28,9,8.9,-0.0,0,173056.0,115152.0,24,0,0,0,,,,20000000,0.0,0.0087
