timestamp,rnti,e2_node,f1ap,slice_sd,slice_name,cqi,ri,dl_mcs,ul_mcs,pusch_snr_db,pusch_rsrp_db,phr,dl_brate_bps,ul_brate_bps,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,alloc_req_bps,sla_dl_target_bps,bler_dl,sla_dl_sat
1782644101.662,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,6,4.7,-1.4,0,5711672.0,109216.0,501,0,0,0,,,,311000,0.0,18.3655
1782644101.662,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,12,8.0,-0.8,0,5756160.0,120784.0,552,0,0,0,,,,356000,0.0,16.169
1782644101.662,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,6,5.1,-1.0,0,14424992.0,167384.0,501,0,0,0,,,,20000000,0.0,0.7212
1782644102.661,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,4.4,-1.5,0,6234024.0,129127.99999999999,491,0,0,0,,,,311000,0.0,20.0451
1782644102.661,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,15,10.0,-0.5,0,6236536.0,73840.0,503,0,0,0,,,,356000,0.0,17.5184
1782644102.661,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,3,2.4,-1.5,0,14551144.0,139240.0,485,0,0,0,,,,20000000,0.0,0.7276
1782644103.662,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,6,5.4,-1.3,0,7174712.0,78720.0,465,0,0,0,,,,311000,0.0,23.0698
1782644103.662,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,12,8.6,-0.7,0,7214304.0,144768.0,525,0,0,0,,,,356000,0.0,20.2649
1782644103.662,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,8,8.2,-0.3,0,12383592.0,195776.0,461,0,0,0,,,,20000000,0.0,0.6192
1782644104.662,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,6,5.0,-1.5,0,6409456.0,93896.0,489,0,0,0,,,,311000,0.0,20.6092
1782644104.662,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,6,4.7,-1.4,0,6455784.0,149616.0,554,0,0,0,,,,356000,0.0,18.1342
1782644104.662,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,8,8.8,-0.2,0,13149264.0,188936.0,484,0,0,0,,,,20000000,0.0,0.6575
1782644105.662,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,6,5.0,-1.5,0,6409456.0,93896.0,489,0,0,0,,,,311000,0.0,20.6092
1782644105.662,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,6,4.7,-1.4,0,6455784.0,149616.0,554,0,0,0,,,,356000,0.0,18.1342
1782644105.662,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,8,8.8,-0.2,0,13149264.0,188936.0,484,0,0,0,,,,20000000,0.0,0.6575
1782644106.663,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,6,5.0,-1.2,0,8492216.0,103440.0,418,0,0,0,,,,311000,0.0,27.3062
1782644106.663,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,15,9.7,-0.5,0,8509024.0,95272.0,433,0,0,0,,,,356000,0.0,23.9018
1782644106.663,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,9,6.8,-0.7,0,11567640.0,130295.99999999999,415,0,0,0,,,,20000000,0.0,0.5784
1782644107.663,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,8,6.3,-1.1,0,8348208.000000001,94888.0,423,0,0,0,,,,311000,0.0,26.8431
1782644107.663,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,6,5.6,-1.1,0,8348799.999999999,148960.0,458,0,0,0,,,,356000,0.0,23.4517
1782644107.663,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,10,8.7,-0.3,0,11369248.0,148576.0,420,0,0,0,,,,20000000,0.0,0.5685
1782644108.664,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,8,6.3,-1.1,0,8348208.000000001,94888.0,423,0,0,0,,,,311000,0.0,26.8431
1782644108.664,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,6,5.6,-1.1,0,8348799.999999999,148960.0,458,0,0,0,,,,356000,0.0,23.4517
1782644108.664,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,10,8.7,-0.3,0,11369248.0,148576.0,420,0,0,0,,,,20000000,0.0,0.5685
1782644109.665,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,11,7.8,-0.9,0,7045824.0,93952.0,477,0,0,0,,,,311000,0.0,22.6554
1782644109.665,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,10,7.2,-1.0,0,7076256.0,98792.0,504,0,0,0,,,,356000,0.0,19.8771
1782644109.665,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,6,4.8,-1.0,0,13610248.0,118376.0,473,0,0,0,,,,20000000,0.0,0.6805
1782644110.665,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,9,6.4,-1.0,0,7400792.0,85840.0,454,0,0,0,,,,311000,0.0,23.7968
1782644110.665,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,11,7.9,-0.9,0,7434048.0,129383.99999999999,507,0,0,0,,,,356000,0.0,20.8822
1782644110.665,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,8,8.4,-0.3,0,12110848.0,194392.0,450,0,0,0,,,,20000000,0.0,0.6055
1782644111.666,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,6,5.7,-1.2,0,5854496.0,87480.0,511,0,0,0,,,,311000,0.0,18.8247
1782644111.666,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,6,5.3,-1.3,0,5902784.0,167488.0,589,0,0,0,,,,356000,0.0,16.5809
1782644111.666,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,9,9.9,0,0,13289888.0,219952.0,500,0,0,0,,,,20000000,0.0,0.6645
1782644112.666,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,13,1,28,6,5.3,-1.3,0,6479728.0,86504.0,486,0,0,0,,,,311000,0.0,20.8351
1782644112.666,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,6,5.6,-1.2,0,6563136.0,158608.0,558,0,0,0,,,,356000,0.0,18.4358
1782644112.666,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,11,9.8,-0.1,0,12848104.0,195392.0,479,0,0,0,,,,20000000,0.0,0.6424
1782644113.666,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,8,6.1,-1.2,0,6141176.0,127224.0,491,0,0,0,,,,311000,0.0,19.7465
1782644113.666,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,13,7.8,-0.9,0,6125600.0,81496.0,494,0,0,0,,,,356000,0.0,17.2067
1782644113.666,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,2,0.1,-1.9,0,15176272.0,106096.0,491,0,0,0,,,,20000000,0.0,0.7588
1782644114.667,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,13,1,28,10,7.0,-1.1,0,5744592.0,123528.0,500,0,0,0,,,,311000,0.0,18.4714
1782644114.667,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,15,9.6,-0.5,0,5751360.0,65072.0,500,0,0,0,,,,356000,0.0,16.1555
1782644114.667,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,1,-0.6,-2.2,0,15699352.0,105448.0,500,0,0,0,,,,20000000,0.0,0.785
1782644115.668,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,3.9,-1.7,0,5705408.0,143024.0,500,0,0,0,,,,311000,0.0,18.3454
1782644115.668,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,6,3.7,-1.8,0,5708136.0,62640.0,500,0,0,0,,,,356000,0.0,16.0341
1782644115.668,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,1,-0.6,-2.2,0,15708576.0,105688.0,500,0,0,0,,,,20000000,0.0,0.7854
1782644116.668,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,4.1,-1.6,0,5711648.0,139320.0,500,0,0,0,,,,311000,0.0,18.3654
1782644116.668,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,5,3.5,-1.9,0,5711856.0,77376.0,500,0,0,0,,,,356000,0.0,16.0445
1782644116.668,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,1,-0.4,-2.1,0,15699352.0,106440.0,500,0,0,0,,,,20000000,0.0,0.785
1782644117.668,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,4.1,-1.6,0,5711648.0,139320.0,500,0,0,0,,,,311000,0.0,18.3654
1782644117.668,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,5,3.5,-1.9,0,5711856.0,77376.0,500,0,0,0,,,,356000,0.0,16.0445
1782644117.668,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,1,-0.4,-2.1,0,15699352.0,106440.0,500,0,0,0,,,,20000000,0.0,0.785
1782644118.668,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,4.1,-1.6,0,5649504.0,140400.0,500,0,0,0,,,,311000,0.0,18.1656
1782644118.668,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,5,3.1,-2.0,0,5655360.0,79040.0,500,0,0,0,,,,356000,0.0,15.8858
1782644118.668,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,1,-0.6,-2.2,0,15714208.0,105568.0,500,0,0,0,,,,20000000,0.0,0.7857
1782644119.669,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,4,3.5,-1.6,0,6011152.0,150608.0,500,0,0,0,45,100,8000000,311000,0.0,19.3285
1782644119.669,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,4,1.2,-2.2,0,6080624.0,88312.0,500,0,0,0,45,100,9000000,356000,0.0,17.0804
1782644119.669,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,1,-0.5,-2.2,0,15714208.0,104376.0,500,0,0,0,10,100,25000000,20000000,0.0,0.7857
1782644120.669,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,2,1.6,-2.0,0,7340848.0,143192.0,520,0,0,0,45,100,8000000,311000,0.0,23.604
1782644120.669,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,2,-1.5,-2.5,0,7460896.0,153336.0,516,0,0,0,45,100,9000000,356000,0.0,20.9576
1782644120.669,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,4,3.3,-1.4,0,14793104.0,165808.0,500,0,0,0,10,100,25000000,20000000,0.0,0.7397
1782644121.671,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,5,4.0,-1.6,0,8781480.0,142600.0,433,0,0,0,25,100,8000000,311000,0.0,28.2363
1782644121.671,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,5,2.4,-1.5,0,9306328.0,242768.0,429,0,0,0,60,100,9000000,356000,0.0,26.1414
1782644121.671,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,6,5.3,-0.9,0,11698432.0,156176.0,418,0,0,0,15,100,25000000,20000000,0.0,0.5849
