ts,update,mean_reward,policy_loss,value_loss,entropy
10:55:50,0,0.6711,-0.0058,47.9566,1.3086
10:56:22,1,0.6492,-0.0052,46.1000,1.2429
10:56:55,2,0.5999,-0.0101,36.1216,1.1751
10:57:27,3,0.6045,0.0006,34.4815,1.1269
10:57:59,4,0.6542,-0.0025,39.4339,1.2500
10:58:32,5,0.5756,-0.0076,30.6023,1.1576
10:59:04,6,0.5586,-0.0072,27.1140,1.1297
10:59:36,7,0.5362,-0.0010,24.9291,1.1420
11:00:09,8,0.6094,-0.0207,29.5073,1.2360
11:00:41,9,0.5417,0.0028,23.2647,1.0995
11:01:14,10,0.5422,-0.0144,20.6777,1.1125
11:01:46,11,0.5578,0.0019,22.2646,1.1059
11:02:18,12,0.5423,-0.0043,19.8518,1.0966
11:02:51,13,0.5567,-0.0086,21.1510,1.0520
11:03:24,14,0.5226,-0.0003,17.4106,0.9895
11:03:59,15,0.8688,-0.0158,64.6463,1.4691
11:04:33,16,0.9399,-0.0005,67.4054,1.5817
11:05:06,17,0.9399,-0.0010,65.1435,1.5694
11:05:39,18,0.9399,-0.0074,66.0748,1.5674
