timestamp,rnti,e2_node,f1ap,slice_sd,slice_name,cqi,ri,dl_mcs,ul_mcs,pusch_snr_db,pusch_rsrp_db,phr,dl_brate_bps,ul_brate_bps,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,alloc_req_bps,sla_dl_target_bps,bler_dl,sla_dl_sat
1782457301.131,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,7,4.0,-1.6,0,385768.0,641400.0,33,0,0,0,,,,311000,0.0,1.2404
1782457301.131,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,4.4,-1.5,0,423576.0,695280.0,39,0,0,0,,,,356000,0.0,1.1898
1782457301.131,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,8,8.1,-0.2,0,9314680.0,2385760.0,696,0,0,0,,,,20000000,0.0,0.4657
1782457302.131,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,7,4.0,-1.6,0,385768.0,641400.0,33,0,0,0,,,,311000,0.0,1.2404
1782457302.131,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,4.4,-1.5,0,423576.0,695280.0,39,0,0,0,,,,356000,0.0,1.1898
1782457302.131,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,8,8.1,-0.2,0,9314680.0,2385760.0,696,0,0,0,,,,20000000,0.0,0.4657
1782457303.132,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,6,4.3,-1.6,0,377856.0,753808.0,32,0,0,0,,,,311000,0.0,1.215
1782457303.132,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,6,4.0,-1.6,0,461632.0,707936.0,38,0,0,0,,,,356000,0.0,1.2967
1782457303.132,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,8,8.1,-0.2,0,6726696.0,2292992.0,681,0,0,0,,,,20000000,0.0,0.3363
1782457304.133,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,7,4.5,-1.7,0,433472.0,628904.0,34,0,0,0,,,,311000,0.0,1.3938
1782457304.133,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,6,3.3,-1.8,0,589024.0,709560.0,41,0,0,0,,,,356000,0.0,1.5
1782457304.133,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,13,1,28,8,7.9,-0.2,0,5136128.0,2241168.0,721,0,0,0,,,,20000000,0.0,0.2568
1782457305.135,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,7,4.5,-1.7,0,433472.0,628904.0,34,0,0,0,,,,311000,0.0,1.3938
1782457305.135,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,6,3.3,-1.8,0,589024.0,709560.0,41,0,0,0,,,,356000,0.0,1.5
1782457305.135,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,13,1,28,8,7.9,-0.2,0,5136128.0,2241168.0,721,0,0,0,,,,20000000,0.0,0.2568
1782457306.135,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,6,4.1,-1.7,0,615400.0,750120.0,33,0,0,0,,,,311000,0.0,1.5
1782457306.135,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,6,3.6,-1.7,0,338216.0,691368.0,39,0,0,0,,,,356000,0.0,0.95
1782457306.135,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,8,8.5,-0.1,0,4991848.0,2379448.0,701,0,0,0,,,,20000000,0.0,0.2496
1782457307.136,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,11,1,28,6,3.5,-1.7,0,455944.0,620672.0,33,0,0,0,,,,311000,0.0,1.4661
1782457307.136,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,13,1,28,7,3.8,-1.6,0,536136.0,644568.0,41,0,0,0,,,,356000,0.0,1.5
1782457307.136,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,13,1,28,8,8.6,-0.2,0,5928904.0,2323808.0,719,0,0,0,,,,20000000,0.0,0.2964
1782457308.136,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,11,1,27,7,4.6,-1.5,0,350464.0,705272.0,32,0,0,0,,,,311000,0.0,1.1269
1782457308.136,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,13,1,28,7,3.7,-1.5,0,416304.0,840584.0,38,0,0,0,,,,356000,0.0,1.1694
1782457308.136,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,9,1,28,8,8.3,-0.2,0,7485768.0,2313768.0,681,0,0,0,,,,20000000,0.0,0.3743
1782457309.135,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,11,1,27,7,4.6,-1.5,0,350464.0,705272.0,32,0,0,0,,,,311000,0.0,1.1269
1782457309.135,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,13,1,28,7,3.7,-1.5,0,416304.0,840584.0,38,0,0,0,,,,356000,0.0,1.1694
1782457309.135,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,9,1,28,8,8.3,-0.2,0,7485768.0,2313768.0,681,0,0,0,,,,20000000,0.0,0.3743
1782457310.137,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,6,4.1,-1.7,0,267088.0,879040.0,30,0,0,0,,,,311000,0.0,0.8588
1782457310.137,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,11,1,28,7,4.6,-1.5,0,287040.0,912304.0,36,0,0,0,,,,356000,0.0,0.8063
1782457310.137,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,12,1,28,8,8.1,-0.2,0,13907712.0,2276064.0,650,0,0,0,,,,20000000,0.0,0.6954
1782457311.136,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,27,6,3.9,-1.6,0,495496.0,796840.0,29,0,0,0,,,,311000,0.0,1.5
1782457311.136,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,7,4.6,-1.4,0,327424.0,935776.0,35,0,0,0,,,,356000,0.0,0.9197
1782457311.136,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,12,1,28,8,8.6,-0.2,0,5011152.0,2416808.0,628,1,0,0,,,,20000000,0.0016,0.2506
1782457312.138,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,6,3.6,-1.6,0,370152.0,822584.0,29,0,0,0,,,,311000,0.0,1.1902
1782457312.138,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,6,4.2,-1.4,0,430352.0,882080.0,34,0,0,0,,,,356000,0.0,1.2089
1782457312.138,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,9,9.0,-0.1,0,5623616.0,2413360.0,620,0,0,0,,,,20000000,0.0,0.2812
1782457313.138,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,6,3.6,-1.6,0,370152.0,822584.0,29,0,0,0,,,,311000,0.0,1.1902
1782457313.138,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,15,1,28,6,4.2,-1.4,0,430352.0,882080.0,34,0,0,0,,,,356000,0.0,1.2089
1782457313.138,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,9,9.0,-0.1,0,5623616.0,2413360.0,620,0,0,0,,,,20000000,0.0,0.2812
1782457314.139,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,6,3.9,-1.6,0,282312.0,847520.0,30,0,0,0,,,,311000,0.0,0.9078
1782457314.139,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,13,1,28,7,4.8,-1.4,0,343000.0,764696.0,36,0,0,0,,,,356000,0.0,0.9635
1782457314.139,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,8,8.4,-0.1,0,12525912.0,2349528.0,655,0,0,0,,,,20000000,0.0,0.6263
1782457315.139,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,7,4.4,-1.6,0,248264.0,787224.0,29,0,0,0,,,,311000,0.0,0.7983
1782457315.139,17924,gnbd_001_001_00000213_1,1,1,CRITICAL,11,1,28,7,4.2,-1.5,0,659320.0,832672.0,36,0,0,0,,,,356000,0.0,1.5
1782457315.139,17925,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,8,8.1,-0.2,0,5231760.0,2257144.0,634,0,0,0,,,,20000000,0.0,0.2616
1782457316.139,17923,gnbd_001_001_00000213_1,0,2,PERFORMANCE,15,1,28,7,4.8,-1.4,0,315872.0,821304.0,29,0,0,0,,,,311000,0.0,1.0157
