ts,update,mean_reward,policy_loss,value_loss,entropy
07:00:43,0,0.7603,-0.0070,61.8473,1.4821
07:01:15,1,0.8560,-0.0015,74.0232,1.6539
07:01:48,2,0.8801,-0.0106,73.4482,1.6947
07:02:20,3,0.8683,-0.0065,75.2038,1.6696
07:02:53,4,0.8916,-0.0034,77.0632,1.6859
07:03:25,5,0.8320,0.0022,66.6429,1.6192
07:03:58,6,0.8256,-0.0071,59.8778,1.6188
07:04:30,7,0.8703,-0.0075,70.8929,1.6829
07:05:02,8,0.8578,-0.0006,61.7998,1.6338
07:05:35,9,0.8176,-0.0118,52.7045,1.5592
07:06:07,10,0.9173,-0.0082,72.0053,1.7236
07:06:40,11,0.8171,-0.0095,56.1696,1.5298
07:07:12,12,0.8374,-0.0154,53.2874,1.5578
07:07:45,13,0.8563,-0.0222,57.5076,1.6028
07:08:17,14,0.8977,-0.0191,62.3889,1.5390
07:08:49,15,0.8652,-0.0106,55.0983,1.5412
07:09:22,16,0.9022,-0.0186,59.7075,1.5804
07:09:54,17,0.8030,-0.0281,45.4752,1.4524
07:10:27,18,0.7955,0.0041,41.5337,1.4247
07:10:59,19,0.8286,-0.0038,44.4742,1.4765
07:11:31,20,0.8593,-0.0175,52.2145,1.4642
07:12:04,21,0.8340,-0.0004,48.3961,1.4588
07:12:36,22,0.8694,-0.0143,50.5160,1.4540
07:13:09,23,0.8788,-0.0057,52.2340,1.5058
07:13:41,24,0.8267,-0.0068,40.4204,1.3736
07:14:14,25,0.9183,-0.0027,54.7781,1.5293
07:14:46,26,0.9004,-0.0014,49.8763,1.5107
07:15:18,27,0.8411,-0.0019,42.3628,1.4282
07:15:51,28,0.8284,-0.0067,42.5836,1.4074
07:16:23,29,0.8782,-0.0065,44.5884,1.4450
07:16:56,30,0.8999,-0.0015,48.9506,1.5153
07:17:28,31,0.8309,-0.0055,40.0559,1.3934
07:18:01,32,0.8417,-0.0369,40.3497,1.4539
07:18:33,33,0.8695,-0.0238,44.7701,1.4781
07:19:05,34,0.7986,-0.0263,34.1832,1.4007
07:19:38,35,0.8383,-0.0076,39.9000,1.4561
07:20:10,36,0.8426,-0.0130,37.7348,1.4257
07:20:43,37,0.8309,-0.0142,37.3365,1.4683
07:21:15,38,0.8511,-0.0093,38.1741,1.5105
07:21:48,39,0.8489,-0.0456,39.0191,1.4418
07:22:20,40,0.8727,0.0069,41.7911,1.4622
07:22:52,41,0.9219,-0.0063,46.8127,1.5278
07:23:25,42,0.8581,-0.0129,39.2978,1.4160
07:23:57,43,0.9144,-0.0031,45.2402,1.5004
07:24:30,44,0.9040,-0.0160,44.6706,1.4704
07:25:02,45,0.8989,-0.0018,42.4121,1.5055
07:25:34,46,0.8810,-0.0288,40.4541,1.4785
07:26:07,47,0.9069,-0.0053,44.1413,1.5609
07:26:39,48,0.9003,-0.0004,42.6745,1.4983
07:27:12,49,0.9135,-0.0100,43.7179,1.5406
07:27:44,50,0.8578,0.0017,36.9228,1.4696
07:28:17,51,0.8644,-0.0034,39.8595,1.4876
07:28:49,52,0.9037,-0.0047,43.5580,1.5452
07:29:22,53,0.9013,-0.0191,41.9689,1.5316
07:29:54,54,0.8802,0.0029,39.9138,1.4482
07:30:26,55,0.8734,-0.0145,39.0637,1.4660
07:30:59,56,0.8801,-0.0042,40.0571,1.4120
07:31:31,57,0.9088,-0.0087,41.0466,1.4903
07:32:04,58,0.9034,-0.0100,41.6834,1.4884
07:32:36,59,0.9163,-0.0100,42.2007,1.5648
07:33:09,60,0.8943,-0.0429,39.1347,1.4809
07:33:41,61,0.8908,-0.0147,38.3547,1.4181
07:34:13,62,0.8900,-0.0091,38.1404,1.4007
07:34:46,63,0.8974,-0.0189,39.5151,1.3735
07:35:18,64,0.8459,-0.0094,32.9914,1.2423
07:35:51,65,0.8972,-0.0090,40.8363,1.3390
07:36:23,66,0.8364,-0.0067,34.5419,1.1843
07:36:55,67,0.8991,-0.0140,39.4796,1.3400
07:37:28,68,0.8398,-0.0281,35.6865,1.1755
07:38:00,69,0.8672,0.0107,36.0342,1.1978
07:38:33,70,0.9176,-0.0306,41.2668,1.2494
07:39:05,71,0.9678,-0.0100,46.4212,1.2116
07:39:38,72,0.9726,-0.0293,46.9640,1.1514
07:40:11,73,0.9714,0.0019,46.8641,1.1092
07:40:44,74,0.9656,-0.0005,46.4457,1.0975
07:41:16,75,0.9668,-0.0107,46.7702,1.1050
07:41:48,76,0.9698,-0.0102,46.8850,1.0916
07:42:20,77,0.9698,-0.0095,46.9078,1.0593
07:42:53,78,0.9698,-0.0204,46.9405,1.0586
07:43:25,79,0.9698,-0.0074,46.9833,1.0784
07:43:57,80,0.9698,-0.0128,47.0359,1.1038
07:44:29,81,0.9698,-0.0361,47.0989,1.1310
07:45:01,82,0.9698,0.0013,47.1714,1.1545
07:45:34,83,0.9698,-0.0067,47.2535,1.1584
